Page,Title,Element,Subgroup,Subgroup Title,Key,Title,Score,Trend
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice5-details-report,Indicator #1,25%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice5-details-report,Indicator #1,80%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice5-details-report,Indicator #2,17%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice5-details-report,Indicator #2,14%,
community-tapestry-page,Community Tapestry,pieCharts,community-tapestry-pie-chart,,pie-segment,Slice6,60,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice6-details-report,Indicator #1,34%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice6-details-report,Indicator #1,14%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice6-details-report,Indicator #2,25%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice6-details-report,Indicator #2,82%,
community-tapestry-page,Community Tapestry,pieCharts,community-tapestry-pie-chart,,pie-segment,Slice7,80,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice7-details-report,Indicator #1,19%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice7-details-report,Indicator #1,21%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice7-details-report,Indicator #2,95%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice7-details-report,Indicator #2,42%,
community-tapestry-page,Community Tapestry,pieCharts,community-tapestry-pie-chart,,pie-segment,Slice8,30,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice8-details-report,Indicator #1,76%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice8-details-report,Indicator #1,54%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice8-details-report,Indicator #2,34%,
community-tapestry-page,Community Tapestry,pieChartDetail,details,,slice8-details-report,Indicator #2,24%,
community-tapestry-page,Community Tapestry,scoreCards,return-on-investment,Return on Investment,social,Social,78,UP
community-tapestry-page,Community Tapestry,scoreCards,return-on-investment,Return on Investment,economic,Economic,110,DOWN
community-pattern-page,Your Community Pattern,pieCharts,community-pattern-pie-chart-1,,pie-segment,Self-Help,50,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,self-help-details-report,Directed,32%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,self-help-details-report,Directed,30%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,self-help-details-report,Informal,10%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,self-help-details-report,Informal,12%,
community-pattern-page,Your Community Pattern,pieCharts,community-pattern-pie-chart-1,,pie-segment,Social Groups,45,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,social-groups-details-report,Directed,19%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,social-groups-details-report,Directed,45%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,social-groups-details-report,Informal,16%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,social-groups-details-report,Informal,32%,
community-pattern-page,Your Community Pattern,pieCharts,community-pattern-pie-chart-1,,pie-segment,Family,60,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,family-details-report,Directed,64%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,family-details-report,Directed,10%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,family-details-report,Informal,20%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,family-details-report,Informal,33%,
community-pattern-page,Your Community Pattern,pieCharts,community-pattern-pie-chart-1,,pie-segment,Friends,25,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,friends-details-report,Directed,14%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,friends-details-report,Directed,80%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,friends-details-report,Informal,27%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,friends-details-report,Informal,18%,
community-pattern-page,Your Community Pattern,pieCharts,community-pattern-pie-chart-2,,pie-segment,Self-Help,25,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,self-help-details-report,Directed,12%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,self-help-details-report,Directed,44%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,self-help-details-report,Informal,87%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,self-help-details-report,Informal,45%,
community-pattern-page,Your Community Pattern,pieCharts,community-pattern-pie-chart-2,,pie-segment,Social Groups,10,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,social-groups-details-report,Directed,14%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,social-groups-details-report,Directed,10%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,social-groups-details-report,Informal,20%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,social-groups-details-report,Informal,25%,
community-pattern-page,Your Community Pattern,pieCharts,community-pattern-pie-chart-2,,pie-segment,Family,10,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,family-details-report,Directed,25%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,family-details-report,Directed,18%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,family-details-report,Informal,67%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,family-details-report,Informal,12%,
community-pattern-page,Your Community Pattern,pieCharts,community-pattern-pie-chart-2,,pie-segment,Friends,60,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,friends-details-report,Directed,10%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,friends-details-report,Directed,40%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,friends-details-report,Informal,80%,
community-pattern-page,Your Community Pattern,pieChartDetail,details,,friends-details-report,Informal,12%,
community-pattern-page,Your Community Pattern,scoreCards,qol-subgroup-1,Quality of Life,community,Community,A+,UP
community-pattern-page,Your Community Pattern,scoreCards,qol-subgroup-1,Quality of Life,subgroup,Subgroup,B,DOWN
community-pattern-page,Your Community Pattern,scoreCards,qol-subgroup-1,Quality of Life,equity-gap,Equity Gap,-25%,DOWN
community-pattern-page,Your Community Pattern,scoreCards,caregiver-burden-subgroup-1,Caregiver Burden,community,Community,D,DOWN
community-pattern-page,Your Community Pattern,scoreCards,caregiver-burden-subgroup-1,Caregiver Burden,subgroup,Subgroup,C,DOWN
community-pattern-page,Your Community Pattern,scoreCards,caregiver-burden-subgroup-1,Caregiver Burden,equity-gap,Equity Gap,-10,DOWN
community-pattern-page,Your Community Pattern,scoreCards,reported-health-subgroup-1,Reported Health,community,Community,B+,NONE
community-pattern-page,Your Community Pattern,scoreCards,reported-health-subgroup-1,Reported Health,subgroup,Subgroup,D-,DOWN
community-pattern-page,Your Community Pattern,scoreCards,reported-health-subgroup-1,Reported Health,equity-gap,Equity Gap,30,UP
community-pattern-page,Your Community Pattern,scoreCards,qol-subgroup-2,Quality of Life,community,Community,B+,NONE
community-pattern-page,Your Community Pattern,scoreCards,qol-subgroup-2,Quality of Life,subgroup,Subgroup,A,UP
community-pattern-page,Your Community Pattern,scoreCards,qol-subgroup-2,Quality of Life,equity-gap,Equity Gap,-30,DOWN
community-pattern-page,Your Community Pattern,scoreCards,caregiver-burden-subgroup-2,Caregiver Burden,community,Community,C,DOWN
community-pattern-page,Your Community Pattern,scoreCards,caregiver-burden-subgroup-2,Caregiver Burden,subgroup,Subgroup,F,DOWN
community-pattern-page,Your Community Pattern,scoreCards,caregiver-burden-subgroup-2,Caregiver Burden,equity-gap,Equity Gap,10,UP
community-pattern-page,Your Community Pattern,scoreCards,reported-health-subgroup-2,Reported Health,community,Community,C+,DOWN
community-pattern-page,Your Community Pattern,scoreCards,reported-health-subgroup-2,Reported Health,subgroup,Subgroup,B,NONE
community-pattern-page,Your Community Pattern,scoreCards,reported-health-subgroup-2,Reported Health,equity-gap,Equity Gap,15,UP
vital-signs-page,Vital Signs,scoreCards,vital-signs-subgroup,Vital Signs,government,Government,B+,UP
vital-signs-page,Vital Signs,scoreCards,vital-signs-subgroup,Vital Signs,safety,Safety,D,UP
vital-signs-page,Vital Signs,scoreCards,vital-signs-subgroup,Vital Signs,arts-culture,Arts & Culture,B ,DOWN
vital-signs-page,Vital Signs,scoreCards,vital-signs-subgroup,Vital Signs,transportation,Transportation,C-,NONE
vital-signs-page,Vital Signs,scoreCards,vital-signs-subgroup,Vital Signs,food-security,Food Security,B+,DOWN
vital-signs-page,Vital Signs,scoreCards,self-reported-subgroup,Self-Reported,government,Government,A+,UP
vital-signs-page,Vital Signs,scoreCards,self-reported-subgroup,Self-Reported,safety,Safety,C,DOWN
vital-signs-page,Vital Signs,scoreCards,self-reported-subgroup,Self-Reported,arts-culture,Arts & Culture,A,UP
vital-signs-page,Vital Signs,scoreCards,self-reported-subgroup,Self-Reported,Transportation,Transportation,D,DOWN
vital-signs-page,Vital Signs,scoreCards,self-reported-subgroup,Self-Reported,food-security,Food Security,A+,NONE
