Page,Title,Element,Subgroup,Subgroup Title,Key,Title,Score,Trend,
community-tapestry-page,Community Tapestry (19 records used),pieCharts,community-tapestry-pie-chart,,pie-segment,Formal Care,4,,
community-tapestry-page,Community Tapestry (19 records used),pieChartDetail,details,,slice1-details-report,Primary Care,32%,,
community-tapestry-page,Community Tapestry (19 records used),pieChartDetail,details,,slice1-details-report,Social Services,32%,,
community-tapestry-page,Community Tapestry (19 records used),pieChartDetail,details,,slice1-details-report,Home and Community Care,30%,,
community-tapestry-page,Community Tapestry (19 records used),pieChartDetail,details,,slice1-details-report,Rehabilitation,30%,,
community-tapestry-page,Community Tapestry (19 records used),pieChartDetail,details,,slice1-details-report,Residential Care,30%,,
community-tapestry-page,Community Tapestry (19 records used),pieChartDetail,details,,slice1-details-report,Hours of Care,30%,,
community-tapestry-page,Community Tapestry (19 records used),pieChartDetail,details,,slice1-details-report,Palliative Care,30%,,
community-tapestry-page,Community Tapestry (19 records used),pieChartDetail,details,,slice1-details-report,Mental Health,10%,,
community-tapestry-page,Community Tapestry (19 records used),pieChartDetail,details,,slice1-details-report,Hospital,12%,,
community-tapestry-page,Community Tapestry (19 records used),pieCharts,community-tapestry-pie-chart,,pie-segment,Informal Care,35,,
community-tapestry-page,Community Tapestry (19 records used),pieChartDetail,details,,slice4-details-report,Family,25%,,
community-tapestry-page,Community Tapestry (19 records used),pieChartDetail,details,,slice4-details-report,Friends,80%,,
community-tapestry-page,Community Tapestry (19 records used),pieChartDetail,details,,slice4-details-report,Neighbours,80%,,
community-tapestry-page,Community Tapestry (19 records used),pieChartDetail,details,,slice4-details-report,Social Groups,80%,,
community-tapestry-page,Community Tapestry (19 records used),pieCharts,community-tapestry-pie-chart,,pie-segment,Paid Services,1,,
community-tapestry-page,Community Tapestry (19 records used),pieChartDetail,details,,slice3-details-report,Home Health Care,5%,,
community-tapestry-page,Community Tapestry (19 records used),pieChartDetail,details,,slice3-details-report,Other,20%,,
community-tapestry-page,Community Tapestry (19 records used),pieCharts,community-tapestry-pie-chart,,pie-segment,Self Care,60,,
community-tapestry-page,Community Tapestry (19 records used),pieChartDetail,details,,slice5-details-report,Self Care,100%,,
community-pattern-page,Group Outcomes and Equity,pieCharts,community-pattern-pie-chart-1,,pie-segment,Self Care,50,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,self-care-details-report,Self Care,100%,,
community-pattern-page,Group Outcomes and Equity,pieCharts,community-pattern-pie-chart-1,,pie-segment,Informal Care,45,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,informal-care-details-report,Family,19%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,informal-care-details-report,Friends,45%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,informal-care-details-report,Neighbours,16%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,informal-care-details-report,Social Groups,32%,,
community-pattern-page,Group Outcomes and Equity,pieCharts,community-pattern-pie-chart-1,,pie-segment,Formal Care,60,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Primary Care,64%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Home and Community Care,10%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Social Services,10%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Rehabilitation,20%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Residential Care,20%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Hours of Care,20%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Palliative Care,20%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Mental Health,20%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Hospital,33%,,
community-pattern-page,Group Outcomes and Equity,pieCharts,community-pattern-pie-chart-1,,pie-segment,Paid Services,25,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-paid-services-details-report,Home Health Care,14%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-paid-services-details-report,Other,80%,,
community-pattern-page,Group Outcomes and Equity,pieCharts,community-pattern-pie-chart-2,,pie-segment,Self Care,50,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,self-care-details-report,Self Care,100%,,
community-pattern-page,Group Outcomes and Equity,pieCharts,community-pattern-pie-chart-2,,pie-segment,Informal Care,45,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,informal-care-details-report,Family,19%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,informal-care-details-report,Friends,45%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,informal-care-details-report,Neighbours,16%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,informal-care-details-report,Social Groups,32%,,
community-pattern-page,Group Outcomes and Equity,pieCharts,community-pattern-pie-chart-2,,pie-segment,Formal Care,60,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Social Services,64%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Primary Care,64%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Home and Community Care,10%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Rehabilitation,20%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Residential Care,20%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Hours of Care,20%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Palliative Care,20%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Mental Health,20%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-health-details-report,Hospital,33%,,
community-pattern-page,Group Outcomes and Equity,pieCharts,community-pattern-pie-chart-2,,pie-segment,Paid Services,25,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-paid-services-details-report,Home Health Care,14%,,
community-pattern-page,Group Outcomes and Equity,pieChartDetail,details,,formal-care-paid-services-details-report,Other,80%,,
community-pattern-page,Group Outcomes and Equity,scoreCards,qol-subgroup-1,Quality of Life,community,Community,A+,SAME,
community-pattern-page,Group Outcomes and Equity,scoreCards,qol-subgroup-1,Quality of Life,subgroup,Subgroup,B,SAME,
community-pattern-page,Group Outcomes and Equity,scoreCards,qol-subgroup-1,Quality of Life,equity-gap,Equity Gap,-25%,SAME,
community-pattern-page,Group Outcomes and Equity,scoreCards,caregiver-burden-subgroup-1,Caregiver Burden,community,Community,D,SAME,
community-pattern-page,Group Outcomes and Equity,scoreCards,caregiver-burden-subgroup-1,Caregiver Burden,subgroup,Subgroup,C,SAME,
community-pattern-page,Group Outcomes and Equity,scoreCards,caregiver-burden-subgroup-1,Caregiver Burden,equity-gap,Equity Gap,-10,SAME,
community-pattern-page,Group Outcomes and Equity,scoreCards,reported-health-subgroup-1,Reported Health,community,Community,B+,SAME,
community-pattern-page,Group Outcomes and Equity,scoreCards,reported-health-subgroup-1,Reported Health,subgroup,Subgroup,D-,SAME,
community-pattern-page,Group Outcomes and Equity,scoreCards,reported-health-subgroup-1,Reported Health,equity-gap,Equity Gap,30,SAME,
community-pattern-page,Group Outcomes and Equity,scoreCards,qol-subgroup-2,Quality of Life,community,Community,B+,SAME,
community-pattern-page,Group Outcomes and Equity,scoreCards,qol-subgroup-2,Quality of Life,subgroup,Subgroup,A,SAME,
community-pattern-page,Group Outcomes and Equity,scoreCards,qol-subgroup-2,Quality of Life,equity-gap,Equity Gap,-30,SAME,
community-pattern-page,Group Outcomes and Equity,scoreCards,caregiver-burden-subgroup-2,Caregiver Burden,community,Community,C,SAME,
community-pattern-page,Group Outcomes and Equity,scoreCards,caregiver-burden-subgroup-2,Caregiver Burden,subgroup,Subgroup,F,SAME,
community-pattern-page,Group Outcomes and Equity,scoreCards,caregiver-burden-subgroup-2,Caregiver Burden,equity-gap,Equity Gap,10,SAME,
community-pattern-page,Group Outcomes and Equity,scoreCards,reported-health-subgroup-2,Reported Health,community,Community,C+,UP,
community-pattern-page,Group Outcomes and Equity,scoreCards,reported-health-subgroup-2,Reported Health,subgroup,Subgroup,B,DOWN,
community-pattern-page,Group Outcomes and Equity,scoreCards,reported-health-subgroup-2,Reported Health,equity-gap,Equity Gap,15,DOWN,
value-impact-page,Value And Impact,pieCharts,value-impact-pie-chart-1,,pie-segment,Self-Care,50,DOWN,
value-impact-page,Value And Impact,pieCharts,value-impact-pie-chart-1,,pie-segment,Informal Care,50,DOWN,
value-impact-page,Value And Impact,pieCharts,value-impact-pie-chart-1,,pie-segment,Formal Care,60,DOWN,
value-impact-page,Value And Impact,pieCharts,value-impact-pie-chart-1,,pie-segment,Paid Services,15,DOWN,
value-impact-page,Value And Impact,pieCharts,value-impact-pie-chart-2,,pie-segment,Self-Care,80,UP,
value-impact-page,Value And Impact,pieCharts,value-impact-pie-chart-2,,pie-segment,Informal Care,20,SAME,
value-impact-page,Value And Impact,pieCharts,value-impact-pie-chart-2,,pie-segment,Formal Care,40,UP,
value-impact-page,Value And Impact,pieCharts,value-impact-pie-chart-2,,pie-segment,Paid Services,60,DOWN,
value-impact-page,Value And Impact,scoreCards,return-on-investment,Return on Investment,social,Social,0,DOWN,
value-impact-page,Value And Impact,scoreCards,return-on-investment,Return on Investment,economic,Economic,0,UP,
vital-signs-page,Vital Signs,scoreCards,windsor-subgroup,Windsor,belonging-leadership,Belonging and Leadership,B,,
vital-signs-page,Vital Signs,scoreCards,windsor-subgroup,Windsor,health,Health ,C,,
vital-signs-page,Vital Signs,scoreCards,windsor-subgroup,Windsor,wellness-activity,Wellness & Activity,C,,
vital-signs-page,Vital Signs,scoreCards,windsor-subgroup,Windsor,housing,Housing,B,,
vital-signs-page,Vital Signs,scoreCards,windsor-subgroup,Windsor,safety,Safety,B,,
vital-signs-page,Vital Signs,scoreCards,windsor-subgroup,Windsor,arts-culture,Arts & Culture,B,,
vital-signs-page,Vital Signs,scoreCards,windsor-subgroup,Windsor,environment,Environment,C,,
vital-signs-page,Vital Signs,scoreCards,windsor-subgroup,Windsor,learning,Learning,B,,
vital-signs-page,Vital Signs,scoreCards,windsor-subgroup,Windsor,getting-started,Getting Started,C,,
vital-signs-page,Vital Signs,scoreCards,windsor-subgroup,Windsor,food-security,Food Security,B,,
vital-signs-page,Vital Signs,scoreCards,windsor-subgroup,Windsor,getting-around,Getting Around,C,,
vital-signs-page,Vital Signs,scoreCards,essex-subgroup,Essex,belonging-leadership,Belonging and Leadership,B,,
vital-signs-page,Vital Signs,scoreCards,essex-subgroup,Essex,health,Health ,C,,
vital-signs-page,Vital Signs,scoreCards,essex-subgroup,Essex,wellness-activity,Wellness & Activity,C,,
vital-signs-page,Vital Signs,scoreCards,essex-subgroup,Essex,housing,Housing,B,,
vital-signs-page,Vital Signs,scoreCards,essex-subgroup,Essex,safety,Safety,B,,
vital-signs-page,Vital Signs,scoreCards,essex-subgroup,Essex,arts-culture,Arts & Culture,B,,
vital-signs-page,Vital Signs,scoreCards,essex-subgroup,Essex,environment,Environment,B,,
vital-signs-page,Vital Signs,scoreCards,essex-subgroup,Essex,learning,Learning,C,,
vital-signs-page,Vital Signs,scoreCards,essex-subgroup,Essex,getting-started,Getting Started,B,,
vital-signs-page,Vital Signs,scoreCards,essex-subgroup,Essex,food-security,Food Security,B,,
vital-signs-page,Vital Signs,scoreCards,essex-subgroup,Essex,getting-around,Getting Around,C,,
vital-signs-page,Vital Signs,scoreCards,seniors-subgroup,Seniors,belonging-leadership,Belonging and Leadership,B,,
vital-signs-page,Vital Signs,scoreCards,seniors-subgroup,Seniors,health,Health ,C,,
vital-signs-page,Vital Signs,scoreCards,seniors-subgroup,Seniors,wellness-activity,Wellness & Activity,C,,
vital-signs-page,Vital Signs,scoreCards,seniors-subgroup,Seniors,housing,Housing,C,,
vital-signs-page,Vital Signs,scoreCards,seniors-subgroup,Seniors,safety,Safety,B,,
vital-signs-page,Vital Signs,scoreCards,seniors-subgroup,Seniors,arts-culture,Arts & Culture,B,,
vital-signs-page,Vital Signs,scoreCards,seniors-subgroup,Seniors,environment,Environment,C+,,
vital-signs-page,Vital Signs,scoreCards,seniors-subgroup,Seniors,learning,Learning,C,,
vital-signs-page,Vital Signs,scoreCards,seniors-subgroup,Seniors,getting-started,Getting Started,C,,
vital-signs-page,Vital Signs,scoreCards,seniors-subgroup,Seniors,food-security,Food Security,B,,
vital-signs-page,Vital Signs,scoreCards,seniors-subgroup,Seniors,getting-around,Getting Around,C,,
vital-signs-page,Vital Signs,scoreCards,youth-subgroup,Youth,belonging-leadership,Belonging and Leadership,B,,
vital-signs-page,Vital Signs,scoreCards,youth-subgroup,Youth,health,Health ,B,,
vital-signs-page,Vital Signs,scoreCards,youth-subgroup,Youth,wellness-activity,Wellness & Activity,B ,,
vital-signs-page,Vital Signs,scoreCards,youth-subgroup,Youth,housing,Housing,B,,
vital-signs-page,Vital Signs,scoreCards,youth-subgroup,Youth,safety,Safety,B,,
vital-signs-page,Vital Signs,scoreCards,youth-subgroup,Youth,arts-culture,Arts & Culture,B,,
vital-signs-page,Vital Signs,scoreCards,youth-subgroup,Youth,environment,Environment,C+,,
vital-signs-page,Vital Signs,scoreCards,youth-subgroup,Youth,learning,Learning,B,,
vital-signs-page,Vital Signs,scoreCards,youth-subgroup,Youth,getting-started,Getting Started,B,,
vital-signs-page,Vital Signs,scoreCards,youth-subgroup,Youth,food-security,Food Security,B,,
vital-signs-page,Vital Signs,scoreCards,youth-subgroup,Youth,getting-around,Getting Around,C,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
